eventName,description,effectType,cashChange,reputationChange,skipNextTurn,effectDescription,flavorText
地震,随机3处有人房产降一级,DowngradeProperty,0,0,false,随机3处房产降一级,一场突如其来的地震让城市元气大伤，三处房产应声受损。
黑帮火拼,所有玩家现金-250,CashLoss,-250,0,false,所有玩家现金-250,街头的枪声打破了城市的平静，混乱让每个人都付出了代价。
台风,所有玩家被传送到随机位置,Custom,0,0,false,所有玩家被传送到随机位置,台风席卷城市，原有的秩序被打乱，每个人都被迫去往新的位置。
边境封锁,所有玩家每次只能投一个骰子,Custom,0,0,false,全员单骰持续4回合,邻国突然关闭了边境，来自远方的货物和旅人都慢了下来，城市也不得不暂时放慢脚步。
丑闻,财富最高的玩家声誉-10且被劝捐300元,ReputationLoss,0,-10,false,最富者声誉-10现金-300,一则丑闻登上头条，站得越高的人，往往也越容易成为众矢之的。
公益晚会,所有玩家声誉+5,ReputationGain,0,5,false,所有玩家声誉+5,今晚的聚光灯属于那些愿意回馈城市的人，善意也会成为一种财富。
交通事故,随机玩家的下个回合会被跳过,SkipTurn,0,0,true,随机玩家的下个回合会被跳过,一场意外让交通陷入瘫痪，有人因此被迫停下脚步。
发现金矿,所有玩家现金增加200元,CashGain,200,0,false,所有玩家现金+200,一场意外让大量财富流入城市，没有人知道这笔钱从哪里来，但所有人的钱包都鼓了起来。
邻城暴雷,所有玩家现金减少200元,CashLoss,-200,0,false,所有玩家现金-200,邻城最大的银行突然倒闭，恐慌沿着商路迅速传来，城市里的财富也跟着缩水。
伸出援手,最富的玩家-500最穷的玩家获得救济金,Custom,0,0,false,最富者-500 最穷者+600（危机期+700）,先富的人需要带动后富的人。
伸出援手,最富的玩家-500最穷的玩家获得救济金,Custom,0,0,false,最富者-500 最穷者+600（危机期+700）,先富的人需要带动后富的人。
伸出援手,最富的玩家-500最穷的玩家获得救济金,Custom,0,0,false,最富者-500 最穷者+600（危机期+700）,先富的人需要带动后富的人。
罗宾汉出没,最富的玩家-500,Custom,0,0,false,最富的玩家-500,一位蒙面侠客在夜里拜访了城中最富有的人。清晨醒来，保险箱轻了500元。
罗宾汉出没,最富的玩家-500,Custom,0,0,false,最富的玩家-500,一位蒙面侠客在夜里拜访了城中最富有的人。清晨醒来，保险箱轻了500元。
